m_name,director,cast,story,runtime(분),m_date,genre1,genre2,m_age,create_date,modify_date,
,달마가 동쪽으로 간 까닭은?,배용균,"이판용, 신원섭, 황해진, 고수명, 김희룡",1,135,1989,드라마,종교,12,,,
,파업전야,"이은기,이재구,장동홍,장윤현","임영구, 왕태언, 고동업, 엄경환, 조현모, 최경희",1,107,1990,드라마,사회물,12,,,
,검으나 땅에 희나 백성,배용균,"전규수 , 김미진 , 민병인 , 고인배 , 송의헌",1,111,1995,드라마,연극,12,,,
,청춘의 십자로,안종화,"이원용,신일선,박연,김연실",1,55,1934,드라마,사극,12,,,
,사랑방 손님과 어머니,신상옥,"최은희, 전영선, 김진규, 한은진",1,102,1961,멜로,,12,,,
,돌아오지 않는 해병,이만희,"장동희, 최무룡, 구봉서, 이대엽",1,109,1963,사회물,전쟁,12,,,
,지산어보,이준익,"설경구, 변요한",1,126,2019,드라마,사극,12,,,
,동주,이준익,"강하늘, 박정민",1,110,2015,드라마,,12,,,
,마더,봉준호,"김혜자, 원빈",1,128,2009,드라마,스릴러,19,,,
,박쥐,박찬욱,"송강호, 김옥빈",1,133,2009,드라마,공포,19,,,
,추격자,나홍진,"김윤석, 하정우, 서영희",1,123,2007,스릴러,액션,19,,,
,밀양,이창동,"전도연, 송강호",1,141,2007,드라마,,15,,,
,가족의 탄생,김태용,"문소리, 엄태웅, 공효진, 고두심",1,113,2006,드라마,,15,,,
,타짜,최동훈,"조승우, 김혜수, 백윤식, 유해진",1,139,2006,드라마,코미디,19,,,
,괴물,봉준호,"송강호, 변희봉, 박해일, 배두나, 고아성",1,119,2006,스릴러,SF,12,,,
,왕의 남자,이준익,"감우성, 이준기, 정진영, 강성연",1,119,2005,드라마,사극,15,,,
,친절한 금자씨,박찬욱,"이영애, 최민식",1,112,2005,드라마,스릴러,19,,,
,지구를 지켜라!,장준환,"신하균, 백윤식, 황정민",1,117,2003,판타지,코미디,19,,,
,송환,김동원,다큐멘터리(출연 배우 없음),1,149,2003,드라마,스릴러,12,,,
,복수는 나의 것,박찬욱,"송강호, 신하균, 배두나",1,120,2002,드라마,스릴러,19,,,
,소름,윤종찬,"김명민, 장진영",1,112,2001,드라마,스릴러,19,,,
,고양이를 부탁해,정재은,"배두나, 이요원, 옥지영, 이은주",1,112,2001,스릴러,공포,12,,,
,봄날은 간다,허진호,"유지태, 이영애",1,113,2001,드라마,멜로,15,,,
,와이키키 브라더스,임순례,"이얼, 황정민, 박원상",1,109,2001,드라마,코미디,19,,,
,공동경비구역 J.S.A,박찬욱,"이병헌, 송강호, 김태우, 이영애",1,110,2000,드라마,스릴러,15,,,
,반칙왕,김지운,"송강호, 장진영",1,112,2000,드라마,코미디,12,,,
,춘향뎐,임권택,"조승우, 이효정",1,136,2000,로맨스,사극,12,,,
,죽거나 혹은 나쁘거나,류승완,"류승범, 박지환, 정재영",1,96,2000,스릴러,액션,19,,,
,쉬리,강제규,"한석규, 최민식, 김윤진, 송강호",1,120,1999,스릴러,액션,15,,,
,인정사정 볼것 없다,이명세,"박중훈, 안성기, 장동건",1,112,1999,액션,,12,,,
,박하사탕,이창동,"설경구, 문소리",1,129,1999,드라마,멜로,19,,,
,여고괴담 두번째 이야기,"김태용,민규동","김규리, 박예진, 공효진, 이영진",1,97,1999,스릴러,공포,12,,,
,강원도의 힘,홍상수,"오윤홍, 백종학, 박해일",1,108,1998,드라마,코미디,19,,,
,넘버 3,송능한,"한석규, 송강호, 최민식, 이미연",1,104,1997,코미디,드라마,19,,,
,전우치,최동훈,"강동원, 김윤석, 임수정, 유해진",1,136,2009,액션,판타지,12,,,
,신과함께 - 죄와벌,김용화,"하정우, 차태현, 주지훈, 김향기",1,140,2017,판타지,드라마,15,,,
,신과함께 - 인과연,김용화,"하정우, 주지훈, 김향기, 마동석",1,141,2018,판타지,드라마,15,,,
,늑대소년,조성희,"송중기, 박보영",1,125,2012,판타지,멜로,15,,,
,아라한 장풍대작전,류승완,"류승범, 윤소이, 안성기, 정두홍",1,114,2004,판타지,액션,12,,,
